,DJI
21/3/1973,938.369995
22/3/1973,925.200012
23/3/1973,922.710022
26/3/1973,927.900024
27/3/1973,944.909973
28/3/1973,948
29/3/1973,959.140015
30/3/1973,951.01001
2/4/1973,936.179993
3/4/1973,927.75
4/4/1973,925.049988
5/4/1973,923.460022
6/4/1973,931.070007
9/4/1973,947.549988
10/4/1973,960.48999
11/4/1973,967.409973
12/4/1973,964.030029
13/4/1973,959.359985
16/4/1973,956.72998
17/4/1973,953.419983
18/4/1973,958.309998
19/4/1973,963.200012
23/4/1973,955.369995
24/4/1973,940.77002
25/4/1973,930.539978
26/4/1973,937.76001
27/4/1973,922.190002
30/4/1973,921.429993
1/5/1973,921.210022
2/5/1973,932.340027
3/5/1973,945.669983
4/5/1973,953.869995
7/5/1973,950.710022
8/5/1973,956.580017
9/5/1973,949.049988
10/5/1973,939.340027
11/5/1973,927.97998
14/5/1973,909.690002
15/5/1973,917.440002
16/5/1973,917.140015
17/5/1973,911.719971
18/5/1973,895.169983
21/5/1973,886.51001
22/5/1973,892.460022
23/5/1973,895.02002
24/5/1973,924.440002
25/5/1973,930.840027
29/5/1973,925.570007
30/5/1973,908.869995
31/5/1973,901.409973
1/6/1973,893.960022
4/6/1973,885.909973
5/6/1973,900.809998
6/6/1973,898.179993
7/6/1973,909.619995
8/6/1973,920
11/6/1973,915.109985
12/6/1973,927
13/6/1973,915.48999
14/6/1973,902.919983
15/6/1973,888.549988
18/6/1973,875.080017
19/6/1973,881.549988
20/6/1973,884.710022
21/6/1973,873.650024
22/6/1973,879.820007
25/6/1973,869.130005
26/6/1973,879.440002
27/6/1973,884.630005
28/6/1973,894.640015
29/6/1973,891.710022
2/7/1973,880.570007
3/7/1973,874.169983
5/7/1973,874.320007
6/7/1973,870.109985
9/7/1973,877.26001
10/7/1973,888.320007
11/7/1973,908.190002
12/7/1973,901.940002
13/7/1973,885.98999
16/7/1973,897.580017
17/7/1973,898.030029
18/7/1973,905.400024
19/7/1973,906.679993
20/7/1973,910.900024
23/7/1973,913.150024
24/7/1973,918.719971
25/7/1973,933.02002
26/7/1973,934.530029
27/7/1973,936.710022
30/7/1973,933.77002
31/7/1973,926.400024
1/8/1973,912.179993
2/8/1973,910.140015
3/8/1973,908.869995
6/8/1973,912.780029
7/8/1973,911.950012
8/8/1973,902.02002
9/8/1973,901.48999
10/8/1973,892.380005
13/8/1973,883.200012
14/8/1973,870.710022
15/8/1973,874.169983
16/8/1973,872.73999
17/8/1973,871.840027
20/8/1973,867.400024
21/8/1973,857.840027
22/8/1973,851.900024
23/8/1973,864.460022
24/8/1973,863.48999
27/8/1973,870.710022
28/8/1973,872.070007
29/8/1973,883.429993
30/8/1973,882.530029
31/8/1973,887.570007
4/9/1973,895.390015
5/9/1973,899.080017
6/9/1973,901.039978
7/9/1973,898.630005
10/9/1973,891.330017
11/9/1973,885.76001
12/9/1973,881.320007
13/9/1973,880.570007
14/9/1973,886.359985
17/9/1973,892.98999
18/9/1973,891.26001
19/9/1973,910.369995
20/9/1973,920.530029
21/9/1973,927.900024
24/9/1973,936.710022
25/9/1973,940.549988
26/9/1973,949.5
27/9/1973,953.27002
28/9/1973,947.099976
1/10/1973,948.830017
2/10/1973,956.799988
3/10/1973,964.549988
4/10/1973,955.900024
5/10/1973,971.25
8/10/1973,977.650024
9/10/1973,974.190002
10/10/1973,960.570007
11/10/1973,976.070007
12/10/1973,978.630005
15/10/1973,967.039978
16/10/1973,967.409973
17/10/1973,962.52002
18/10/1973,959.73999
19/10/1973,963.72998
22/10/1973,960.570007
23/10/1973,966.51001
24/10/1973,971.849976
25/10/1973,974.48999
26/10/1973,987.059998
29/10/1973,984.799988
30/10/1973,968.539978
31/10/1973,956.580017
1/11/1973,948.830017
2/11/1973,935.280029
5/11/1973,919.400024
6/11/1973,913.080017
7/11/1973,920.080017
8/11/1973,932.650024
9/11/1973,908.409973
12/11/1973,897.650024
13/11/1973,891.030029
14/11/1973,869.880005
15/11/1973,874.549988
16/11/1973,891.330017
19/11/1973,862.659973
20/11/1973,844.900024
21/11/1973,854.97998
23/11/1973,854
26/11/1973,824.950012
27/11/1973,817.72998
28/11/1973,839.780029
29/11/1973,835.109985
30/11/1973,822.25
3/12/1973,806.52002
4/12/1973,803.210022
5/12/1973,788.309998
6/12/1973,814.119995
7/12/1973,838.049988
10/12/1973,851.140015
11/12/1973,834.179993
12/12/1973,810.72998
13/12/1973,800.429993
14/12/1973,815.650024
17/12/1973,811.119995
18/12/1973,829.48999
19/12/1973,829.570007
20/12/1973,828.109985
21/12/1973,818.72998
24/12/1973,814.809998
26/12/1973,837.559998
27/12/1973,851.01001
28/12/1973,848.02002
31/12/1973,850.859985
2/1/1974,855.320007
3/1/1974,880.690002
4/1/1974,880.22998
7/1/1974,876.849976
8/1/1974,861.780029
9/1/1974,834.789978
10/1/1974,823.109985
11/1/1974,841.47998
14/1/1974,840.179993
15/1/1974,846.400024
16/1/1974,856.090027
17/1/1974,872.159973
18/1/1974,855.469971
21/1/1974,854.630005
22/1/1974,863.469971
23/1/1974,871
24/1/1974,863.080017
25/1/1974,859.390015
28/1/1974,853.01001
29/1/1974,852.320007
30/1/1974,862.320007
31/1/1974,855.549988
1/2/1974,843.940002
4/2/1974,821.5
5/2/1974,820.640015
6/2/1974,824.619995
7/2/1974,828.460022
8/2/1974,820.400024
11/2/1974,803.900024
12/2/1974,806.630005
13/2/1974,806.869995
14/2/1974,809.919983
15/2/1974,820.320007
19/2/1974,819.539978
20/2/1974,831.039978
21/2/1974,846.840027
22/2/1974,855.98999
25/2/1974,851.380005
26/2/1974,859.51001
27/2/1974,863.419983
28/2/1974,860.530029
1/3/1974,851.919983
4/3/1974,853.179993
5/3/1974,872.419983
6/3/1974,879.849976
7/3/1974,869.059998
8/3/1974,878.049988
11/3/1974,888.450012
12/3/1974,887.119995
13/3/1974,891.659973
14/3/1974,889.780029
15/3/1974,887.830017
18/3/1974,874.219971
19/3/1974,867.570007
20/3/1974,872.340027
21/3/1974,875.469971
22/3/1974,878.130005
25/3/1974,881.02002
26/3/1974,883.679993
27/3/1974,871.169983
28/3/1974,854.349976
29/3/1974,846.679993
1/4/1974,843.47998
2/4/1974,846.609985
3/4/1974,858.030029
4/4/1974,858.890015
5/4/1974,847.539978
8/4/1974,839.960022
9/4/1974,846.840027
10/4/1974,843.710022
11/4/1974,844.809998
15/4/1974,843.789978
16/4/1974,861.22998
17/4/1974,867.409973
18/4/1974,869.919983
19/4/1974,859.900024
22/4/1974,858.570007
23/4/1974,845.97998
24/4/1974,832.369995
25/4/1974,827.679993
26/4/1974,834.640015
29/4/1974,835.419983
30/4/1974,836.75
1/5/1974,853.880005
2/5/1974,851.059998
3/5/1974,845.900024
6/5/1974,844.880005
7/5/1974,847.150024
8/5/1974,850.98999
9/5/1974,865.77002
10/5/1974,850.440002
13/5/1974,845.590027
14/5/1974,847.859985
15/5/1974,846.059998
16/5/1974,835.340027
17/5/1974,818.840027
20/5/1974,812.419983
21/5/1974,809.530029
22/5/1974,802.570007
23/5/1974,805.22998
24/5/1974,816.650024
28/5/1974,814.299988
29/5/1974,795.369995
30/5/1974,803.580017
31/5/1974,802.169983
3/6/1974,821.26001
4/6/1974,828.690002
5/6/1974,830.179993
6/6/1974,845.349976
7/6/1974,853.719971
10/6/1974,859.669983
